id_pedido,id_cliente,data_pedido,status_pedido,canal_venda,forma_pagamento
1,9,2024-03-15,Concluído,Site,Cartão de crédito
2,111,2024-09-25,Concluído,Site,Cartão de débito
3,147,2025-06-02,Concluído,Loja física,Cartão de débito
4,206,2025-12-19,Concluído,App,Boleto
5,159,2024-03-26,Concluído,App,Pix
6,168,2025-07-03,Concluído,Site,Boleto
7,224,2025-12-16,Em andamento,App,Cartão de crédito
8,45,2024-09-07,Concluído,Site,Cartão de débito
9,312,2025-09-18,Concluído,Marketplace,Pix
10,7,2024-05-02,Cancelado,App,Cartão de crédito
11,255,2024-06-16,Concluído,Marketplace,Pix
12,65,2025-01-15,Em andamento,Marketplace,Cartão de crédito
13,172,2024-01-31,Concluído,Marketplace,Cartão de crédito
14,365,2024-09-26,Concluído,Site,Cartão de débito
15,262,2025-04-11,Concluído,Site,Cartão de débito
16,86,2025-08-03,Concluído,App,Boleto
17,458,2024-04-15,Concluído,Site,Pix
18,2,2025-06-05,Concluído,Site,Pix
19,242,2024-02-17,Concluído,Loja física,Pix
20,477,2024-07-02,Concluído,Loja física,Pix
21,128,2024-11-25,Concluído,Marketplace,Boleto
22,293,2024-03-20,Concluído,Site,Cartão de crédito
23,115,2024-07-02,Concluído,Site,Cartão de débito
24,450,2024-03-11,Concluído,Marketplace,Boleto
25,45,2024-12-01,Concluído,Loja física,Cartão de crédito
26,103,2025-01-12,Concluído,Marketplace,Pix
27,189,2025-04-20,Concluído,Loja física,Pix
28,390,2025-07-13,Concluído,App,Cartão de crédito
29,13,2025-02-23,Concluído,Marketplace,Cartão de crédito
30,1,2024-12-09,Em andamento,Loja física,Boleto
31,106,2024-04-16,Concluído,App,Cartão de débito
32,493,2025-05-18,Concluído,App,Boleto
33,23,2024-04-05,Concluído,Loja física,Boleto
34,499,2025-04-14,Em andamento,Site,Cartão de crédito
35,69,2025-06-01,Concluído,Loja física,Cartão de crédito
36,291,2025-08-29,Concluído,Loja física,Pix
37,150,2024-08-30,Concluído,Marketplace,Cartão de débito
