id_item,id_pedido,id_produto,quantidade,preco_venda,desconto
1,1,23,2,406.88,0
2,1,65,3,900.72,0
3,1,20,1,194.76,0
4,2,24,1,665.19,39.23
5,3,79,3,275.09,0
6,4,50,3,159.37,10.67
7,4,58,1,1201.46,0
8,5,6,3,445.95,0
9,5,46,3,459.49,0
10,5,8,1,1210.08,0
11,6,68,1,119.44,0
12,7,26,1,856.58,0
13,7,37,1,269.81,0
14,7,42,1,289.84,0
15,8,50,1,161.72,0
16,8,40,1,331.14,0
17,9,12,1,162.61,0
18,10,41,1,2941.9,0
19,10,7,1,439.65,67.62
20,11,66,1,122.04,7.59
21,11,68,1,111.73,8.72
22,11,23,2,409.52,0
23,12,6,1,433.39,0
24,12,49,1,154.28,0
25,13,23,1,427.49,21.91
26,13,50,1,159.36,0
27,13,30,1,2523.37,0
28,14,27,1,247.17,0
29,14,35,1,333.14,48.93
30,15,2,1,582.77,0
31,16,29,1,207.81,30.9
32,17,69,1,183.43,24.24
33,18,51,1,129.0,0
34,18,37,2,262.74,41.24
35,18,69,1,173.98,17.72
36,18,73,1,334.13,0
37,19,9,1,80.16,0
38,20,77,2,132.72,0
39,21,27,3,258.36,0
40,21,41,3,3063.06,387.85
41,21,6,1,404.32,0
42,21,73,1,340.77,43.86
43,21,2,1,618.77,41.37
44,22,72,1,431.64,57.28
45,22,21,1,122.03,0
46,23,42,1,276.92,18.01
47,24,73,1,350.03,0
48,25,5,1,440.1,0
49,25,73,3,361.73,0
50,25,70,1,632.62,0
51,26,79,1,276.76,0
52,26,33,3,551.77,0
53,27,19,1,2414.16,0
54,28,33,2,567.67,85.61
55,29,59,1,288.13,0
56,30,17,2,226.97,0
57,30,46,3,445.49,0
58,30,27,1,251.33,0
59,30,52,1,2767.5,0
60,30,54,3,3127.49,0
61,31,60,1,829.75,0
62,32,28,1,131.72,0
63,32,51,1,130.15,0
64,33,7,1,417.73,36.61
65,33,26,1,794.69,0
66,34,50,1,151.47,0
67,34,73,1,339.49,0
68,35,26,1,801.63,0
69,35,20,2,184.18,0
70,35,53,2,227.52,0
71,36,13,2,341.67,54.44
72,37,12,1,169.08,8.89
73,38,9,1,83.14,0
74,39,61,1,383.91,0
75,39,44,3,276.33,0
76,39,23,1,415.97,46.94
77,40,36,3,136.08,13.16
78,40,32,2,88.78,0
79,41,22,2,383.96,0
80,42,57,1,86.19,0
81,43,73,1,338.54,0
82,43,45,1,324.96,0
83,43,44,2,295.48,0
84,43,11,1,67.56,0
85,43,48,1,3316.93,0
86,44,76,1,921.56,0
87,45,36,4,140.18,10.9
88,46,31,2,474.41,0
89,47,35,2,329.75,0
90,48,71,1,2832.03,0
91,49,74,1,384.39,0
92,50,5,1,419.16,0
93,51,66,2,123.61,0
94,52,45,2,342.52,0
95,53,58,3,1074.22,0
96,54,66,2,111.99,16.16
97,55,23,1,391.61,0
98,56,10,2,361.26,44.77
99,56,2,2,587.71,0
100,56,44,2,274.62,37.24
101,57,11,1,67.62,6.42
102,58,27,2,259.9,0
103,58,7,1,431.86,0
104,59,24,1,710.46,0
105,59,61,1,388.23,21.89
106,60,19,2,2367.45,115.06
107,61,25,2,736.58,0
108,61,24,2,676.7,0
109,61,42,1,279.7,22.86
110,62,1,1,198.54,28.42
111,63,9,1,83.07,11.91
112,64,58,1,1170.05,138.32
113,65,47,1,470.01,0
114,65,78,2,407.16,0
115,65,9,2,77.11,0
116,65,73,1,359.12,29.78
117,66,60,3,838.23,0
118,66,42,1,305.0,0
119,67,50,1,146.49,11.35
120,68,20,2,188.32,22.4
121,68,52,1,2554.34,0
122,68,47,1,441.03,39.18
123,68,2,1,625.12,0
124,68,56,1,351.08,0
125,69,21,1,124.08,0
126,70,42,2,294.18,31.72
127,71,28,1,146.78,0
128,71,54,1,2964.56,0
129,72,77,1,127.37,0
130,72,17,1,217.26,0
131,73,3,1,488.29,0
132,73,58,1,1194.16,0
133,74,61,1,408.56,0
134,74,36,1,126.91,0
135,75,30,1,2601.13,297.82
136,75,76,2,939.36,0
137,76,19,1,2219.05,0
138,77,35,1,330.48,0
139,77,9,1,75.39,0
140,78,32,1,87.2,0
141,79,72,2,431.25,0
142,79,19,1,2459.88,372.94
143,80,77,1,126.61,20.6
144,81,65,1,844.42,0
145,81,37,2,266.1,19.8
146,82,54,1,3024.62,0
147,83,49,1,161.51,0
148,84,36,1,128.12,0
149,85,76,1,1018.57,163.13
150,86,48,1,3366.28,0
151,86,19,1,2388.74,0
152,87,5,1,422.13,0
153,88,66,1,122.59,4.85
154,89,20,1,176.54,0
155,90,47,3,441.08,0
156,91,64,1,729.64,0
157,91,52,1,2710.74,165.59
158,91,70,1,658.15,0
159,92,8,1,1215.93,190.21
160,93,6,1,437.13,0
161,94,18,1,397.3,0
162,94,65,1,834.93,114.56
163,94,41,1,2950.2,104.44
164,94,42,1,289.85,0
165,95,48,1,3411.79,0
166,96,1,3,193.17,0
167,97,66,1,114.71,0
168,97,50,1,152.54,7.3
169,98,4,1,3755.38,0
170,99,27,1,274.01,0
171,99,24,2,668.1,0
172,99,15,2,111.12,0
173,100,39,1,71.28,0
174,100,47,2,436.13,0
175,100,60,1,773.46,61.95
176,101,50,1,153.81,0
177,101,42,3,289.43,0
178,102,32,1,87.17,3.27
179,102,10,1,345.62,33.44
180,102,79,2,275.87,23.51
181,103,55,1,1000.21,145.6
182,103,48,2,3190.82,540.9
183,104,27,2,278.31,13.05
184,104,16,2,331.49,0
185,104,4,1,3440.17,393.85
186,105,20,1,182.08,0
187,106,56,2,347.74,0
188,107,6,3,443.52,0
189,107,9,2,75.99,9.93
190,108,25,4,718.64,0
191,108,31,2,492.94,0
192,108,58,2,1165.88,0
193,108,1,1,177.43,0
194,109,70,1,626.22,0
195,109,21,1,125.16,0
196,109,48,1,3232.64,0
197,110,38,1,701.3,0
198,111,53,3,214.63,10.87
199,111,47,3,458.81,0
200,112,22,1,400.12,0
201,112,6,1,414.54,0
202,113,74,3,404.97,0
203,113,18,1,406.76,0
204,114,70,1,672.15,0
205,114,6,1,408.32,0
206,114,67,1,1314.95,0
207,114,14,2,458.57,0
208,114,74,1,385.0,0
209,115,14,1,453.04,0
210,115,29,2,209.88,31.28
211,116,14,1,430.77,0
212,116,64,1,728.67,0
213,117,13,1,339.14,19.62
214,117,25,2,721.3,124.53
215,118,46,1,419.53,0
216,119,48,1,3243.85,0
217,120,79,1,260.19,20.28
218,120,76,1,987.08,0
219,121,69,2,171.86,0
220,122,63,1,650.81,0
221,122,4,1,3562.97,493.98
222,122,49,2,168.22,0
223,123,31,4,460.07,0
224,123,78,2,426.72,39.08
225,124,17,1,233.24,24.71
226,125,24,1,712.33,0
227,126,7,1,414.51,0
228,126,33,1,552.48,0
229,126,75,1,366.3,57.0
230,126,16,1,332.81,48.71
231,127,23,1,395.25,0
232,127,49,1,159.45,0
233,127,6,2,447.4,24.46
234,128,78,1,404.95,0
235,129,3,2,496.18,0
236,129,68,1,109.47,0
237,130,9,1,83.54,0
238,130,12,1,169.44,0
239,131,16,1,320.02,41.28
240,131,4,1,3569.16,0
241,131,21,3,123.93,0
242,132,6,1,404.01,54.63
243,133,8,1,1131.59,0
244,134,68,1,122.09,20.52
245,135,28,1,133.59,15.09
246,135,25,1,798.26,103.82
247,135,61,2,386.19,0
248,136,10,1,361.7,0
249,136,73,1,375.05,0
250,137,56,1,343.6,0
251,138,48,1,3318.45,0
252,139,17,1,236.61,0
253,139,62,1,601.96,72.14
254,140,10,1,334.53,14.29
255,141,19,1,2278.97,0
256,141,6,4,414.53,0
257,141,48,1,3449.65,0
258,142,63,2,680.2,0
259,142,50,1,159.64,0
260,143,18,1,390.07,0
261,143,61,1,411.37,28.89
262,143,44,1,281.41,0
263,144,42,3,292.62,0
264,145,43,1,631.75,59.12
265,146,79,2,266.76,35.45
266,146,18,2,393.23,39.09
267,147,16,1,320.83,0
268,147,38,2,658.28,0
269,148,32,1,90.39,0
270,148,51,1,119.17,0
271,149,49,2,169.48,9.89
272,150,64,2,738.59,0
273,150,59,1,291.71,0
274,150,71,1,2567.53,0
275,150,75,1,367.79,52.97
276,151,6,1,402.93,57.0
277,151,9,1,74.34,0
278,151,36,1,126.65,0
279,151,14,2,443.15,27.95
280,151,71,1,2790.37,0
281,152,31,1,492.62,0
282,153,50,1,158.32,0
283,154,79,3,252.8,0
284,155,53,1,225.45,12.63
285,156,14,1,465.74,0
286,157,50,1,162.93,0
287,157,58,1,1083.75,0
288,157,28,2,143.12,20.72
289,158,63,1,683.17,0
290,159,65,1,895.22,0
291,160,10,1,364.98,0
292,161,27,1,256.09,0
293,161,28,2,136.53,0
294,161,41,3,3197.61,0
295,162,9,2,74.16,0
296,162,58,1,1064.88,0
297,163,55,1,979.16,83.22
298,164,62,1,590.29,0
299,164,21,2,128.95,0
300,164,22,2,359.83,0
301,164,29,1,224.08,9.39
302,164,75,3,383.26,0
303,165,36,1,127.59,20.51
304,165,24,1,701.25,0
305,165,30,2,2618.26,0
306,166,61,3,425.02,64.25
307,167,10,1,337.74,0
308,168,16,2,335.68,0
309,169,69,3,167.92,26.58
310,170,66,1,112.5,4.19
311,170,3,1,480.93,0
312,170,65,2,866.17,57.92
313,171,15,2,101.96,0
314,172,49,1,155.24,0
315,173,51,1,123.29,0
316,173,71,3,2856.7,0
317,174,52,1,2662.29,0
318,174,33,1,599.97,71.98
319,175,39,1,73.78,0
320,176,4,1,3406.39,324.73
321,177,19,2,2432.04,0
322,177,58,1,1105.78,35.89
323,178,57,1,88.69,0
324,179,27,1,260.87,44.91
325,180,13,1,359.2,0
326,180,38,1,680.28,0
327,180,48,1,3279.09,0
328,181,62,1,614.4,109.86
329,181,9,1,81.13,2.73
330,181,46,1,448.79,40.62
331,181,43,2,635.74,0
332,182,7,2,419.53,0
333,183,56,1,353.85,0
334,183,66,1,126.89,19.5
335,183,5,1,443.71,0
336,184,19,1,2309.92,0
337,184,26,1,807.7,0
338,185,73,1,368.77,0
339,186,73,1,374.07,14.94
340,187,34,1,833.29,109.07
341,187,62,1,595.54,0
342,187,9,1,81.3,0
343,188,34,1,830.66,0
344,188,74,1,398.61,0
345,189,76,1,1000.09,0
346,189,67,1,1438.57,0
347,190,66,1,126.49,0
348,191,76,1,1007.11,52.57
349,192,29,2,211.58,0
350,193,70,2,630.14,0
351,193,65,1,820.95,0
352,193,47,3,425.4,0
353,193,53,2,224.76,0
354,194,61,3,395.95,0
355,195,63,2,651.17,0
356,196,52,2,2620.46,0
357,196,56,1,336.34,0
358,197,11,1,62.26,0
359,198,55,1,958.1,0
360,199,20,1,173.45,0
361,199,7,2,424.48,0
362,199,1,1,191.29,10.48
363,200,13,1,364.64,0
364,201,25,2,794.89,0
365,201,22,1,369.63,0
366,202,79,1,245.97,0
367,203,66,1,120.9,0
368,204,44,1,296.44,0
369,205,66,1,121.62,0
370,206,31,2,511.0,0
371,207,60,1,767.17,90.64
372,208,14,4,433.92,0
373,209,43,1,645.48,0
374,210,16,3,340.58,0
375,211,39,2,71.55,0
376,211,27,1,258.48,40.37
377,212,50,1,165.32,0
378,212,24,2,690.3,0
379,212,64,2,757.13,0
380,213,73,3,351.32,0
381,213,24,4,663.48,0
382,213,1,1,189.8,0
383,213,22,3,390.51,0
384,214,47,1,421.73,0
385,214,44,2,289.26,23.11
386,214,79,1,268.37,0
387,215,68,1,118.09,0
388,215,76,3,999.36,0
389,216,71,1,2791.77,223.04
390,216,38,1,697.29,0
391,217,54,3,3080.58,238.06
392,217,60,1,797.4,0
393,218,5,1,436.26,0
394,218,30,1,2414.05,369.9
395,219,1,1,198.31,0
396,220,70,3,597.28,0
397,221,40,1,351.0,0
398,221,77,1,130.88,0
399,222,50,1,159.11,15.02
400,222,72,1,394.15,0
401,222,43,1,674.27,0
402,223,38,1,678.71,0
403,224,21,1,125.62,0
404,225,71,2,2531.26,371.59
405,225,9,2,83.49,0
406,225,10,1,353.69,51.25
407,225,20,2,183.68,23.92
408,225,16,1,315.6,0
409,226,50,2,156.9,5.14
410,227,12,1,161.26,0
411,227,9,1,83.97,0
412,227,21,1,119.01,0
413,227,19,2,2225.74,0
414,228,28,1,138.37,0
415,228,22,1,402.93,0
416,228,25,2,805.6,0
417,229,59,1,270.15,0
418,229,50,1,149.76,0
419,230,48,1,3238.4,0
420,231,60,1,808.92,40.74
421,231,11,1,69.96,0
422,231,18,1,396.83,61.62
423,231,13,1,352.13,0
424,232,14,1,444.08,0
425,233,34,2,841.82,0
426,234,10,1,347.18,0
427,234,68,1,123.6,0
428,234,47,2,471.73,0
429,235,13,1,382.75,0
430,235,47,1,428.71,0
431,236,11,1,64.19,0
432,236,30,2,2633.05,360.52
433,237,70,2,657.29,110.31
434,237,39,1,71.57,2.71
435,237,71,1,2858.67,0
436,237,13,1,359.75,0
437,238,70,1,608.9,0
438,239,32,1,94.9,0
439,239,11,2,66.88,4.2
440,239,43,2,611.93,0
441,240,66,1,119.62,17.85
442,240,31,2,469.67,0
443,240,53,1,218.24,0
444,241,68,1,111.0,0
445,242,75,1,373.18,0
446,243,54,1,3079.22,145.31
447,244,33,1,600.68,0
448,244,17,3,220.78,0
449,245,32,2,95.88,0
450,246,28,1,131.79,8.11
451,247,2,1,578.68,0
452,248,16,2,325.93,0
